Rank,TLA,crash_road,side_road,northing,easting,latitude,longitude,minorInjuryCrashes,seriousInjuryCrashes,fatalCrashes,totalInjuryCrashes,minorInjuries,seriousInjuries,fatalities,totalCasualties
61,Auckland,Symonds St,Mount St,5919779,1757575,-36.85478066,174.7675466,16,3,0,19,21,3,0,24
62,Palmerston North City,Kelvin Grove Road,Stoney Creek Road,5533984,1826633,-40.31393537,175.6671313,6,2,0,8,10,2,0,12
63,Christchurch City,Riccarton Road,Clarence Street,5180294,1567834,-43.52960301,172.6019299,24,4,0,28,26,4,0,30
64,New Plymouth District ,SH 3 (Devon Road),Raleigh Street,5680782,1705395,-39.01564796,174.2173972,12,1,0,13,19,1,0,20
65,Auckland,New North Road,Carrington Road,5916612,1752880,-36.88408851,174.7155418,18,5,0,23,24,5,0,29
66,Auckland,Symonds Street,Wakefield Street,5919614,1757417,-36.8562937,174.7658092,17,4,0,21,20,4,0,24
67,Far North District ,SH 10,SH 11 (Black Bridge Road),6092884,1687488,-35.3034142,173.9623058,13,1,1,15,28,1,1,30
68,Napier City,Kennedy Road,Kennedy Off Nbd,5618637,1933348,-39.51725615,176.8774764,21,1,0,22,22,1,0,23
69,Selwyn District ,SH 1 (Main South Road),Aylesbury Road,5170622,1544698,-43.61533,172.3146395,9,1,0,10,15,1,0,16
70,Auckland,Mount Albert Road,Dominion Road,5914291,1755173,-36.90462748,174.7417373,30,1,1,32,42,1,1,44
71,Southland District ,SH 1 (Woodlands Invercargill Highway),Kennington Road,4853176,1250430,-46.38452878,168.4536538,8,4,0,12,25,4,0,29
72,Auckland,Karangahape Road,Pitt Street,5919468,1756812,-36.85770983,174.7590558,22,3,0,25,25,3,0,28
73,Auckland,Karangahape Road,Symonds Street,5919382,1757215,-36.85841774,174.7635923,22,3,1,26,28,3,1,32
74,Christchurch City ,SH 73 (West Coast Road),Buchanans Road,5182214,1557970,-43.51182537,172.4800108,6,4,1,11,11,6,1,18
75,Horowhenua District ,SH 57 (Arapaepae Road),Queen Street,5499715,1795065,-40.63038485,175.3064661,8,4,1,13,17,5,1,23
76,Dunedin City,Great King Street,North Road,4919059,1407380,-45.85509102,170.5188549,20,6,0,26,31,6,0,37
77,Auckland,Great North Road,Swanson Road,5917750,1745063,-36.87506788,174.6276388,27,2,0,29,39,2,0,41
78,Hamilton City,Bridge Street,Tisdall Street,5814746,1801457,-37.79245911,175.2879824,19,7,0,26,25,8,0,33
